algorithm,n_seeds,final_mean_reward,final_std_seeds,final_cv_seeds,best_mean_reward,worst_seed_final,best_seed_final,auc_normalized,final_ep_length,steps_to_50pct,steps_to_80pct
SAC,3,11368.68090560339,96.83638867022127,0.008517820974506601,11505.884582279776,11233.533844379777,11455.421677487762,0.785024821223187,1000.0,130000.0,380000.0
DDPG,3,11206.203032253334,1146.908559640458,0.10234586651156173,11956.691832386665,9761.42973832,12567.00291774,0.7636872326364234,1000.0,180000.0,370000.0
TD3,3,10809.785023862407,245.1283627547985,0.02267652522355274,10974.26723803814,10589.859114706736,11151.817617130466,0.7805274365979976,1000.0,120000.0,370000.0
PPO,3,1405.1352796186163,58.26950344293218,0.041468963371802725,1391.224229004339,1338.2889656560903,1480.2918797773405,0.06687840005557849,1000.0,,
